;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;2023;;
Barrio;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km
EL LIMONCITO;28;1.63;6.06;30;1.74;6.50;10;0.58;2.17;8;0.46;1.73;20;1.16;4.33;26;1.51;5.63;2;0.12;0.43
EL POBLADO;170;4.66;25.03;155;4.25;22.82;120;3.29;17.67;76;2.08;11.19;175;4.80;25.77;68;1.86;10.01;9;0.25;1.33
EL PORVENIR;272;4.87;26.24;263;4.71;25.37;280;5.01;27.01;197;3.53;19.00;236;4.22;22.76;197;3.53;19.00;58;1.04;5.59
EL PRADO;452;3.47;19.36;394;3.02;16.87;322;2.47;13.79;175;1.34;7.49;200;1.53;8.56;206;1.58;8.82;25;0.19;1.07
EL PUEBLO;34;1.12;3.71;16;0.53;1.75;23;0.76;2.51;18;0.59;1.96;14;0.46;1.53;20;0.66;2.18;4;0.13;0.44
EL RECREO;332;2.95;14.23;358;3.18;15.34;242;2.15;10.37;169;1.50;7.24;219;1.95;9.38;194;1.72;8.31;55;0.49;2.36
EL ROMANCE;20;2.34;7.58;10;1.17;3.79;2;0.23;0.76;4;0.47;1.52;26;3.04;9.86;1;0.12;0.38;5;0.59;1.90
EL ROSARIO;351;4.12;18.07;345;4.05;17.77;281;3.30;14.47;192;2.25;9.89;215;2.52;11.07;210;2.46;10.81;46;0.54;2.37
EL RUBI;2;0.10;0.63;0;0.00;0.00;0;0.00;0.00;2;0.10;0.63;20;1.04;6.29;13;0.68;4.09;1;0.05;0.31
EL SANTUARIO;57;0.80;3.29;57;0.80;3.29;38;0.53;2.19;21;0.29;1.21;21;0.29;1.21;24;0.34;1.38;17;0.24;0.98
EL SILENCIO;45;1.27;4.07;31;0.88;2.80;23;0.65;2.08;19;0.54;1.72;12;0.34;1.09;16;0.45;1.45;2;0.06;0.18
EL TABOR;35;1.29;8.48;30;1.11;7.27;26;0.96;6.30;7;0.26;1.70;16;0.59;3.88;24;0.89;5.81;10;0.37;2.42
EL VALLE;34;1.21;5.08;26;0.93;3.88;8;0.29;1.19;13;0.46;1.94;20;0.71;2.99;20;0.71;2.99;4;0.14;0.60
EVARISTO SOURDIS;9;0.09;0.43;31;0.31;1.47;21;0.21;0.99;16;0.16;0.76;19;0.19;0.90;31;0.31;1.47;15;0.15;0.71
GRANADILLO;138;6.01;32.50;90;3.92;21.20;87;3.79;20.49;62;2.70;14.60;88;3.83;20.73;59;2.57;13.90;8;0.35;1.88
JOSE ANTONIO GALAN;18;0.61;2.01;2;0.07;0.22;11;0.37;1.23;7;0.24;0.78;12;0.41;1.34;2;0.07;0.22;5;0.17;0.56
KALAMARY;2;0.22;0.72;2;0.22;0.72;5;0.56;1.80;2;0.22;0.72;4;0.45;1.44;0;0.00;0.00;1;0.11;0.36
KENNEDY;7;0.32;1.33;4;0.18;0.76;16;0.73;3.05;2;0.09;0.38;6;0.27;1.14;2;0.09;0.38;0;0.00;0.00
LA ALBORAYA;77;2.27;7.05;59;1.74;5.40;79;2.33;7.24;33;0.97;3.02;54;1.59;4.95;44;1.30;4.03;19;0.56;1.74
LA CAMPIÃ‘A;57;2.46;11.04;64;2.76;12.40;64;2.76;12.40;51;2.20;9.88;51;2.20;9.88;39;1.68;7.56;7;0.30;1.36
LA CEIBA;47;1.61;6.59;46;1.58;6.45;28;0.96;3.93;8;0.27;1.12;39;1.34;5.47;38;1.30;5.33;16;0.55;2.24
LA CHINITA;167;3.26;9.46;112;2.19;6.35;166;3.24;9.41;53;1.04;3.00;51;1.00;2.89;46;0.90;2.61;14;0.27;0.79
LA CONCEPCION;169;2.47;13.43;106;1.55;8.42;127;1.85;10.09;46;0.67;3.66;80;1.17;6.36;40;0.58;3.18;7;0.10;0.56
LA CUMBRE;30;1.35;7.38;16;0.72;3.94;26;1.17;6.40;3;0.13;0.74;16;0.72;3.94;13;0.58;3.20;6;0.27;1.48
LA ESMERALDA;11;0.14;0.73;13;0.16;0.87;17;0.21;1.13;7;0.09;0.47;14;0.17;0.93;12;0.15;0.80;10;0.12;0.67
LA FLORESTA;6;1.02;2.68;10;1.69;4.47;4;0.68;1.79;4;0.68;1.79;4;0.68;1.79;6;1.02;2.68;2;0.34;0.89
LA FLORIDA;0;0.00;0.00;0;0.00;0.00;5;0.68;3.57;2;0.27;1.43;6;0.81;4.28;3;0.41;2.14;0;0.00;0.00
LA LIBERTAD;4;0.84;4.22;4;0.84;4.22;2;0.42;2.11;2;0.42;2.11;2;0.42;2.11;1;0.21;1.05;0;0.00;0.00
LA LUZ;57;0.81;3.11;85;1.21;4.64;88;1.26;4.81;26;0.37;1.42;21;0.30;1.15;25;0.36;1.37;11;0.16;0.60
LA MAGDALENA;29;0.66;2.54;23;0.53;2.01;15;0.34;1.31;16;0.37;1.40;20;0.46;1.75;20;0.46;1.75;4;0.09;0.35
LA MANGA;24;0.63;3.19;30;0.78;3.98;25;0.65;3.32;10;0.26;1.33;8;0.21;1.06;26;0.68;3.45;8;0.21;1.06
LA PAZ;82;1.27;5.56;72;1.12;4.88;57;0.89;3.87;33;0.51;2.24;33;0.51;2.24;20;0.31;1.36;27;0.42;1.83
LA PRADERA;72;0.78;2.89;80;0.87;3.21;82;0.89;3.29;60;0.65;2.40;172;1.87;6.89;94;1.02;3.77;27;0.29;1.08
